Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-09-14,ADANIPORTS,EQ,745.1,747.8,762.75,745.45,756.5,755.4,755.58,5615411,424290764140000.0,75482,1388244,0.2472
2021-09-15,ADANIPORTS,EQ,755.4,758.55,769.8,753.6,765.65,765.95,763.32,7039338,537329841400000.0,115635,2293836,0.3259
2021-09-16,ADANIPORTS,EQ,765.95,769.0,772.75,760.0,768.1,769.65,766.56,4625316,354560275115000.0,78970,1507205,0.3259
2021-09-17,ADANIPORTS,EQ,769.65,773.3,786.0,760.0,764.2,767.1,772.6,9701785,749556299165000.0,134849,2580511,0.266
2021-09-20,ADANIPORTS,EQ,767.1,759.8,776.0,746.1,747.5,748.9,761.87,5570433,424396187265000.0,84484,1093989,0.19640000000000002
2021-09-21,ADANIPORTS,EQ,748.9,754.0,758.8,734.05,752.85,749.6,746.34,7766479,579642529850000.0,82405,2611503,0.33630000000000004
2021-09-22,ADANIPORTS,EQ,749.6,750.0,759.6,742.0,746.0,745.3,751.33,4343365,326328876115000.0,60376,1329060,0.306
2021-09-23,ADANIPORTS,EQ,745.3,754.4,760.0,750.55,754.0,754.5,755.01,3526253,266234824265000.0,62096,735402,0.2086
2021-09-24,ADANIPORTS,EQ,754.5,756.0,764.9,743.0,743.8,744.8,753.04,4445517,334763858320000.0,70619,791642,0.17809999999999998
2021-09-27,ADANIPORTS,EQ,744.8,749.7,753.8,736.4,750.2,750.25,746.15,3803939,283829281380000.0,63043,870469,0.2288
2021-09-28,ADANIPORTS,EQ,750.25,754.0,756.9,733.0,737.0,738.7,743.85,3748173,278807825210000.0,59682,1156974,0.30870000000000003
2021-09-29,ADANIPORTS,EQ,738.7,737.65,747.85,736.0,742.3,742.0,743.07,2734053,203158862300000.0,45107,528295,0.1932
